id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1542709422740357123,1542672286490271744,2022-07-01 08:49:23 IST,2022-07-01,08:49:23,+0530,1507532873888256001,kinecticworks,Glitchdoctr_Kinecticworks_NFTs,,@nayibbukele Bitcoin is dead.,en,[],[],[],0,0,0,[],[],https://twitter.com/Kinecticworks/status/1542709422740357123,False,,0,,,,,,,,"[{'screen_name': 'nayibbukele', 'name': 'Nayib Bukele', 'id': '20736511'}]",,,,
1542709002034896896,1542667558272237569,2022-07-01 08:47:42 IST,2022-07-01,08:47:42,+0530,1157896993097900032,purefriendship_,Mel,,"@Minionhunter @zerohedge Bitcoin turns the pyramids into the Empire State Building. If the layers in the middle are dead, is there still a need for a republic and democracy to exist? Only the Empire from Star Wars remains.",en,[],[],[],0,0,0,[],[],https://twitter.com/PureFriendship_/status/1542709002034896896,False,,0,,,,,,,,"[{'screen_name': 'Minionhunter', 'name': 'minionhunter', 'id': '80335177'}, {'screen_name': 'zerohedge', 'name': 'zerohedge', 'id': '18856867'}]",,,,
1542707026605887488,1542707026605887488,2022-07-01 08:39:51 IST,2022-07-01,08:39:51,+0530,1037725348144852992,conanobitcoin,Conan O'Bitcoin,,"The stock to flow model is dead. Irrelevant of where the price goes next, the model has been invalidated. RIP. #bitcoin",en,[],[],[],0,0,0,['bitcoin'],[],https://twitter.com/ConanOBitcoin/status/1542707026605887488,False,https://twitter.com/100trillionUSD/status/1542660589939736576,0,,,,,,,,[],,,,
1542703566241931264,1542703566241931264,2022-07-01 08:26:06 IST,2022-07-01,08:26:06,+0530,1471777236634456069,perry_onn,Perry,,Stock Market Experts: “Bitcoin is Dead” After Massive Meltdown. What Does That Mean to Gnox (GNOX) and Ethereum ... . Crypto professionals speculate that Bitcoin will be dead after the crypto crash. This article covers the potential situation for Gnox (GNOX) and Ethe,en,[],[],[],0,0,0,[],[],https://twitter.com/Perry_onn/status/1542703566241931264,False,,0,,,,,,,,[],,,,
1542703470876057600,1542703470876057600,2022-07-01 08:25:44 IST,2022-07-01,08:25:44,+0530,1471364613254299652,jiangtu0916,Jinnie,,Stock Market Experts: “Bitcoin is Dead” After Massive Meltdown. What Does That Mean to Gnox (GNOX) and Ethereum ... . Crypto professionals speculate that Bitcoin will be dead after the crypto crash. This article covers the potential situation for Gnox (,en,[],[],[],0,0,0,[],[],https://twitter.com/jiangtu0916/status/1542703470876057600,False,,0,,,,,,,,[],,,,
1542700723024035841,1542700723024035841,2022-07-01 08:14:49 IST,2022-07-01,08:14:49,+0530,1400919767947616263,johnnysteelball,Johnny steel balls☄☄,,Bitcoin Moon boys are looking at too small of a time frame LMAO 😂🤣 why don't you zoom out bro! it's descending informing a nice descending wedge 🚨Bitcoin is dead!!!! #Bitcoin #bitcoinnews #BTC #BTCs #cryptocurrency,en,[],[],[],0,0,1,"['bitcoin', 'bitcoinnews', 'btc', 'btcs', 'cryptocurrency']",[],https://twitter.com/Johnnysteelball/status/1542700723024035841,False,,0,,,,,,,,[],,,,
1542696366438109185,1542696366438109185,2022-07-01 07:57:30 IST,2022-07-01,07:57:30,+0530,1352642209586188290,azorianbtc,Azorian 💥,,Clearly #Bitcoin is dead. It's dropped over 300% in two years. Not even TerraLuna can claim that.,en,[],[],[],2,0,1,['bitcoin'],[],https://twitter.com/AzorianBTC/status/1542696366438109185,False,https://twitter.com/RemBestGirl69/status/1542651023067684871,0,,,,,,,,[],,,,
1542687005930397697,1542624204465373184,2022-07-01 07:20:18 IST,2022-07-01,07:20:18,+0530,158540024,akfiorentino,Andrew 🇺🇦,,"@Crypto__T @plinian_put @natbrunell The math of bitcoin is dead simple. Everyone understands -- 21 million bitcoins, billions of people. In fact, it's so simple, maybe you should ask yourself why so many other people don't find it convincing.",en,[],[],[],1,0,0,[],[],https://twitter.com/akfiorentino/status/1542687005930397697,False,,0,,,,,,,,"[{'screen_name': 'Crypto__T', 'name': 'Crypto T', 'id': '959010719940468737'}, {'screen_name': 'plinian_put', 'name': 'Plinian Put', 'id': '3301672091'}, {'screen_name': 'natbrunell', 'name': 'Natalie Brunell', 'id': '543483223'}]",,,,
1542678582924718080,1542678582924718080,2022-07-01 06:46:50 IST,2022-07-01,06:46:50,+0530,352544829,chadmcanon,Chad McAnon 🔺,,Love seeing these 10k and below charts for $BTC  … It reminds me of the bottom at 3k and seeing 250-100 back in the day.  Everybody was negative the news was “Bitcoin is dead” etc … we are close friends  #Bitcoin,en,[],[],[],0,0,2,['bitcoin'],['btc'],https://twitter.com/CHADMCANON/status/1542678582924718080,False,,0,,,,,,,,[],,,,
1542675812662386689,1542675812662386689,2022-07-01 06:35:49 IST,2022-07-01,06:35:49,+0530,4045547358,cryptowartrader,Rex Trade,,#btc bottoming is almost in. Reason: My dad told me #bitcoin is dead. He predicted the last cycle 2018 bottoming.,en,[],[],[],1,0,1,"['btc', 'bitcoin']",[],https://twitter.com/cryptowartrader/status/1542675812662386689,False,,0,,,,,,,,[],,,,
1542675699500306432,1479753212047548421,2022-07-01 06:35:22 IST,2022-07-01,06:35:22,+0530,1427329958955917312,igloobamboo,Igloobamboo,,"$btc #BTC  #Bitcoin    TA thread  • Some see a ""W""  • Some see a flag   • I see dead people  ""Trading is death"" - @RichardHeartWin  #Cryptocurrency #cryptotrading $HEX (#HEX the best true #DeFi store of value on the planet - an OG #Web3 financial product)  https://t.co/NklNtlpNyq",en,"[{'screen_name': 'richardheartwin', 'name': 'richard heart', 'id': '817817720221794305'}]",[],['https://pbs.twimg.com/media/FWivX47WYAIThpt.jpg'],2,0,2,"['btc', 'bitcoin', 'cryptocurrency', 'cryptotrading', 'hex', 'defi', 'web3']","['btc', 'hex']",https://twitter.com/igloobamboo/status/1542675699500306432,False,,1,https://pbs.twimg.com/media/FWivX47WYAIThpt.jpg,,,,,,,[],,,,
1542674354508406784,1542674354508406784,2022-07-01 06:30:02 IST,2022-07-01,06:30:02,+0530,1014542631379132416,paywithmoon,Moon,,Every time someone says “#Bitcoin is dead”  https://t.co/58YmRt117v,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/FWiZZrnXgAA-dDr.jpg'],0,1,5,['bitcoin'],[],https://twitter.com/paywithmoon/status/1542674354508406784,False,,1,https://pbs.twimg.com/tweet_video_thumb/FWiZZrnXgAA-dDr.jpg,,,,,,,[],,,,
1542669331653443585,1542667720868900864,2022-07-01 06:10:04 IST,2022-07-01,06:10:04,+0530,1008220267934609408,inconvenienttr5,Inconvenient Truth 🌊🌊,,"@IGSquawk The OLD DEAD Cat Bounce.    #Bitcoin $BTC is going to trade UNDER $10,000 over the next 12 months.",en,[],[],[],1,0,0,['bitcoin'],['btc'],https://twitter.com/InconvenientTr5/status/1542669331653443585,False,,0,,,,,,,,"[{'screen_name': 'IGSquawk', 'name': 'IGSquawk', 'id': '1533387092'}]",,,,
1542662546439737345,1542662546439737345,2022-07-01 05:43:07 IST,2022-07-01,05:43:07,+0530,1133362569354391552,pinkboyeb,pinkboy3p,,Bitcoin is dead Stock market dead I don’t know what bored apes even do I’m tired,en,[],[],[],1,0,1,[],[],https://twitter.com/pinkboyeb/status/1542662546439737345,False,,0,,,,,,,,[],,,,
1542662490407976961,1542662490407976961,2022-07-01 05:42:53 IST,2022-07-01,05:42:53,+0530,929223032467525633,avocado_toast2,Avocado Toast,,"If anyone says #Bitcoin is dead,   ...remind them whales can throw around the price like a rag doll just to get the quarterly close they want  https://t.co/a7zyvQfniR",en,[],[],['https://pbs.twimg.com/media/FWijFKBX0AERyKZ.jpg'],0,1,1,['bitcoin'],[],https://twitter.com/avocado_toast2/status/1542662490407976961,False,,1,https://pbs.twimg.com/media/FWijFKBX0AERyKZ.jpg,,,,,,,[],,,,
1542662206185168902,1542662206185168902,2022-07-01 05:41:45 IST,2022-07-01,05:41:45,+0530,1415553844260401154,cryptonewz4,CryptoNewz,,Is Blockchain Dead? Time to Sell it All   https://t.co/okebYK6QVq   #Bitcoin,en,[],['https://www.youtube.com/watch?v=Evs1PBTDRNo'],[],0,0,0,['bitcoin'],[],https://twitter.com/CryptoNewz4/status/1542662206185168902,False,,0,,,,,,,,[],,,,
